City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,kampene,-3.6,26.6667,28.19,29,51,1.73,CD,1723100614
295,fortuna,40.5982,-124.1573,13.53,95,100,0.0,US,1723100615
296,torghay,49.6339,63.4981,32.05,35,100,5.11,KZ,1723100616
297,kailua-kona,19.6406,-155.9956,27.0,88,40,7.72,US,1723100617
298,partenit,44.578,34.3446,25.32,54,0,2.81,UA,1723100618
299,roma,43.2128,-75.4557,17.63,93,0,2.57,US,1723100569
300,sao jose da coroa grande,-8.8978,-35.1478,22.81,85,11,2.19,BR,1723100620
301,vila franca do campo,37.7167,-25.4333,22.23,89,34,3.03,PT,1723100622
302,kadom,54.5592,42.4675,21.39,63,100,1.88,RU,1723100623
303,ilha de mocambique,-15.0342,40.7358,24.9,69,74,3.56,MZ,1723100624
304,kodiak,57.79,-152.4072,12.73,94,100,1.54,US,1723100626
305,porto torres,40.835,8.3972,26.1,60,0,1.39,IT,1723100627
306,ankazobe,-18.3167,47.1167,18.76,51,4,4.69,MG,1723100628
307,bridgewater,44.3835,-64.5155,12.84,96,0,1.31,CA,1723100629
308,yuzhno-kurilsk,44.0306,145.8556,18.67,100,99,1.34,RU,1723100630
309,takaungu,-3.6837,39.8566,25.27,67,36,6.96,KE,1723100631
310,mckinney,33.1976,-96.6153,30.82,59,0,0.89,US,1723100448
311,tolanaro,-25.0319,46.9987,20.04,94,75,3.09,MG,1723100633
312,toliara,-23.35,43.6667,25.57,50,0,2.45,MG,1723100634
313,bay roberts,47.5999,-53.2648,15.64,87,0,4.16,CA,1723100517
314,kristinestad,62.2743,21.376,21.72,64,81,2.89,FI,1723100636
315,sabang,5.8933,95.3214,28.95,73,100,2.47,ID,1723100637
316,greymouth,-42.4667,171.2,7.94,86,100,2.64,NZ,1723100638
317,nguigmi,14.2495,13.1092,27.6,66,100,7.54,NE,1723100640
318,griffith,41.5284,-87.4237,19.97,93,100,0.0,US,1723100641
319,tougue,11.4667,-11.6,19.77,97,97,1.52,GN,1723100642
320,angaur state,6.906,134.13,28.55,73,100,1.18,PW,1723100643
321,petropavlovsk-kamchatsky,53.0452,158.6483,23.33,53,0,2.0,RU,1723100644
322,tual,-5.6667,132.75,25.21,87,91,8.81,ID,1723100646
323,imbituba,-28.24,-48.6703,15.26,98,100,1.51,BR,1723100446
324,ribeira brava,32.65,-17.0667,23.34,72,25,1.35,PT,1723100648
325,katsuura,35.1333,140.3,28.21,80,0,1.98,JP,1723100651
326,sanga-sanga,5.0725,119.7853,27.95,76,99,2.93,PH,1723100652
327,soio,-6.1349,12.3689,21.88,82,100,3.65,AO,1723100653
328,zunyi,27.6867,106.9072,29.9,70,100,5.04,CN,1723100654
329,copala,16.65,-98.9833,26.59,88,97,3.48,MX,1723100655
330,pass christian,30.3158,-89.2475,28.03,74,0,1.54,US,1723100656
331,qamdo,31.1667,97.2333,21.75,33,43,1.02,CN,1723100657
332,nova sintra,14.8667,-24.7167,24.95,84,69,8.38,CV,1723100658
333,bella union,-30.2752,-57.6007,8.02,68,100,3.97,UY,1723100659
334,leh,34.1667,77.5833,17.34,39,94,1.54,IN,1723100660
335,paranaiba,-19.6772,-51.1908,20.44,42,0,2.07,BR,1723100661
336,colares,38.7992,-9.4469,19.63,86,75,3.6,PT,1723100662
337,luderitz,-26.6481,15.1594,11.27,78,0,3.34,,1723100664
338,valparaiso,-33.0393,-71.6273,6.8,87,0,2.06,CL,1723100402
339,east london,-33.0153,27.9116,14.52,54,0,2.57,ZA,1723100432
340,kyzyl-mazhalyk,51.1333,90.6,27.24,27,0,1.36,RU,1723100667
341,fort st. john,56.2499,-120.8529,14.94,72,0,4.12,CA,1723100405
342,turinskaya sloboda,57.6232,64.3858,17.53,44,2,3.9,RU,1723100669
343,vinales,22.6164,-83.7078,24.29,92,8,1.32,CU,1723100670
344,prieska,-29.6641,22.7474,15.16,27,0,3.41,ZA,1723100671
345,abepura,-2.6333,140.5833,30.45,66,20,3.09,ID,1723100672
346,dolinsk,47.35,142.8,18.9,98,100,1.52,RU,1723100673
347,cafayate,-26.073,-65.9761,3.81,84,85,2.77,AR,1723100429
348,newman,37.3138,-121.0208,26.99,50,0,2.69,US,1723100675
349,punta gorda,26.9298,-82.0454,29.03,91,40,4.12,US,1723100678
350,akureyri,65.6835,-18.0878,7.96,93,100,2.06,IS,1723100679
351,al ghayzah,16.2079,52.176,29.07,69,82,2.79,YE,1723100680
352,primero de mayo,-32.2552,-58.4228,6.57,78,3,5.4,AR,1723100681
353,aktau,43.65,51.2,28.32,64,0,9.71,KZ,1723100682
354,awjilah,29.1081,21.2869,31.72,29,0,3.54,LY,1723100683
355,malvan,16.0667,73.4667,27.56,79,95,5.37,IN,1723100685
356,bilozerka,46.6248,32.4425,28.54,33,1,0.9,UA,1723100686
357,remire-montjoly,4.9167,-52.2667,24.02,100,0,0.0,GF,1723100687
358,manikchari,22.8408,91.844,26.79,91,98,3.75,BD,1723100688
359,manokwari,-0.8667,134.0833,28.75,72,26,3.22,ID,1723100690
360,las palmas de gran canaria,28.0997,-15.4134,23.07,69,40,9.77,ES,1723100691
361,silvia,2.611,-76.3785,9.91,90,61,1.66,CO,1723100692
